機關名稱,標案案號,標案名稱,決標方式,採購金額,預算金額,標的分類,招標方式,採購金額級距,決標日期
臺北市政府工務局新建工程處,arch1070307,臺北市立和平高級中學教學大樓新建工程委託規劃設計及監造技術服務,最有利標,26017698,26017698,勞務類,限制性招標(經公開評選或公開徵求),巨額,2019/1/16
臺北市交通管制工程處,te108006,108年度臺北市交通流量及特性調查委託專業服務案,最有利標,8900000,4300000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/3
臺北市政府工務局新建工程處,main1071027,108年度臺北市山坡地人工邊坡巡檢建檔及監測工作暨臺北市人工邊坡地錨檢測及評估工作,最有利標,77685001,26199127,勞務類,限制性招標(經公開評選或公開徵求),巨額,2019/2/27
臺北市政府,1070717C0127,華榮市場公辦都更新建工程,最有利標,889387306,889387306,工程類,公開招標,巨額,2019/1/22
臺北市政府,1071025S0154a108,108至110年度完全不斷電系統設備維護保養勞務採購案,最低標,10496400,10496400,勞務類,公開招標,查核金額以上未達巨額,2019/1/30
臺北市政府警察局交通警察大隊,108002,大安分隊駐地整修工程委託規劃設計及監造技術服務工作,最有利標,1222133,1222133,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/8
臺北市政府工務局水利工程處,H108005,108年度公私部門申請施作公共排水設施送審案件委託審查工作,最有利標,8167500,4667500,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/22
臺北市公共運輸處,1071126,松德大樓3臺客梯汰換更新,最有利標,7528500,7528500,財物類,公開招標,公告金額以上未達查核金額,2019/1/3
臺北大眾捷運股份有限公司,B07A00128,交九行控大樓及華捷變電站機電設備保養維護工作,最低標,51356110,25678055,勞務類,公開招標,巨額,2019/1/4
臺北市立聯合醫院,1081FA31003,108年度仁愛院區發電機新增併聯統合盤暨高壓變壓器設備汰換工程委託技術服務案,最有利標,1079468,1079468,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/24
臺北大眾捷運股份有限公司,C07C02087,鋼軌整修車採購,最有利標,243500000,243500000,財物類,公開招標,巨額,2019/3/11
臺北市立聯合醫院,1081HA31003,108至109年度和平院區電力匯流排汰換工程委託技術服務案,最有利標,1300000,1300000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/16
臺北市政府捷運工程局,108M01,捷運開發大樓公有不動產委託代管服務案,最有利標,17119860,14673965,勞務類,限制性招標(經公開評選或公開徵求),查核金額以上未達巨額,2019/2/21
臺北市政府工務局水利工程處,H108008,108年度全市雨水下水道測繪調查工作,最有利標,6999600,4999600,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/24
臺北市政府工務局衛生下水道工程處,S10824107050,108年度臺北市污水下水道簡介宣導片,最有利標,1500000,1500000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/28
臺北市立聯合醫院,R107182,108年市民健康整合服務方案,最有利標,19080585,15264468,勞務類,限制性招標(經公開評選或公開徵求),查核金額以上未達巨額,2019/2/26
臺北市立聯合醫院,107P06,屆期護理醫材乙批,最低標,14273100,12266700,財物類,公開招標,公告金額以上未達查核金額,2019/1/3
臺北市政府工務局大地工程處,GEO1083005,108年度遊憩場域巡勘與緊急處理預約式工程規劃設計監造委託技術服務案等2案,最有利標,6804204,2606264,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/26
臺北市政府,1071206S0206,臺北流行音樂中心流行音樂文化館首檔特展服務案,最有利標,12000000,12000000,勞務類,限制性招標(經公開評選或公開徵求),查核金額以上未達巨額,2019/1/31
